Manufacturer,Model,Model Year,vehicle_age,mileage_km,km_per_year,Fuel Type,Transmission,Condition,body_type,engine_cc,is_luxury,Colour,location,price_lkr
Suzuki,Wagon R,2024,0,6600.0,6600.0,Petrol,Automatic,Brand New,Hatchback,660,0,other,Kottawa,7150000.0
Suzuki,Wagon R,2014,10,120500.0,10954.545454545454,Hybrid,Automatic,Used,Hatchback,658,0,silver,Kandy Find Out More,5550000.0
Suzuki,Maruti,2007,17,0.0,0.0,Petrol,Manual,Used,Hatchback,0,0,maroon,Kurunegala,2700000.0
Suzuki,Alto,2015,9,116000.0,11600.0,Petrol,Manual,Used,Hatchback,796,0,silver,Buttala,3600000.0
Suzuki,Wagon R,2017,7,0.0,0.0,Petrol,Manual,Used,Hatchback,0,0,white,Kurunegala,4700000.0
Daihatsu,Mira,2017,7,88000.0,11000.0,Petrol,Automatic,Used,Sedan,650,0,brown,Kalagedihena,5490000.0
Hyundai,Matrix,2001,23,171132.0,7130.5,Petrol,Automatic,Used,Hatchback,1599,0,blue,Dehiwala,2750000.0
Nissan,Dayz,2024,0,6600.0,6600.0,Petrol,Automatic,Brand New,Hatchback,660,0,black,Kottawa,7150000.0
Suzuki,Zen,2004,20,130000.0,6190.476190476191,Petrol,Manual,Used,Hatchback,1000,0,silver,Galewela,2250000.0
Toyota,Aqua,2015,9,124000.0,12400.0,Hybrid,Automatic,Used,Saloon,1500,0,purple,Ratnapura,7800000.0
Honda,City,2003,21,190000.0,8636.363636363636,Petrol,Automatic,Used,Hatchback,1490,0,blue,Piliyandala,4350000.0
Nissan,N 16,2000,24,145000.0,5800.0,Petrol,Manual,Used,Saloon,1300,0,maroon,Ganemulla,3950000.0
Toyota,Axio,2015,9,137000.0,13700.0,Petrol,Automatic,Used,Convertible,1500,0,white,Kurunegala,10250000.0
Daihatsu,Cast,2023,1,6600.0,3300.0,Petrol,Automatic,Brand New,Hatchback,660,0,brown,Kottawa,7300000.0
Nissan,FB 15,2003,21,190000.0,8636.363636363636,Petrol,Automatic,Used,Saloon,1490,0,silver,Giriulla,4850000.0
Toyota,Premio,2008,16,128000.0,7529.411764705882,Petrol,Automatic,Used,Saloon,1500,0,red,Kandy,8500000.0
Perodua,Kelisa,2007,17,176000.0,9777.777777777777,Petrol,Manual,Used,Hatchback,1000,0,blue,Matale,2850000.0
Toyota,Axio,2007,17,160000.0,8888.888888888889,Petrol,Automatic,Used,Sedan,1500,0,silver,Matale,7250000.0
Toyota,Prius,2014,10,144000.0,13090.90909090909,Hybrid,Automatic,Used,Hatchback,1800,0,white,Kalutara,10800000.0
Nissan,Dayz,2024,0,6600.0,6600.0,Petrol,Automatic,Brand New,Hatchback,660,0,black,Kottawa,7325000.0
BMW,5 Series,2010,14,160000.0,10666.666666666666,Petrol,Automatic,Used,Unknown,2497,1,black,Pita Kotte,16900000.0
Nissan,ExSunny,2003,21,221113.0,10050.59090909091,Petrol,Automatic,Used,Saloon,1290,0,silver,Panadura,4600000.0
Toyota,Axio,2017,7,121000.0,15125.0,Hybrid,Automatic,Used,Saloon,1500,0,other,Kohuwala,11750000.0
Suzuki,Spacia,2023,1,6600.0,3300.0,Petrol,Automatic,Reconditioned,Hatchback,658,0,silver,Kohuwala Find Out More,9250000.0
Honda,Civic,2003,21,212647.0,9665.772727272728,Petrol,Automatic,Used,Hatchback,1490,0,silver,Colombo Fort (Colombo 01),5625000.0
Nissan,Cefiro,1999,25,210000.0,8076.923076923077,Petrol,Automatic,Used,Sedan,1500,0,blue,Gampaha,2880000.0
Toyota,Wigo,2017,7,129000.0,16125.0,Petrol,Automatic,Used,Liftback,1000,0,red,Homagama,5600000.0
Toyota,Vitz,2018,6,56000.0,8000.0,Hybrid,Automatic,Used,Sedan,1000,0,white,Kalmunai,8100000.0
Suzuki,Alto,2015,9,22.0,2.2,Petrol,Manual,Used,Liftback,850,0,blue,Badulla,3775000.0
Suzuki,Wagon R,2018,6,75000.0,10714.285714285714,Hybrid,Automatic,Used,Sedan,650,0,white,Batticaloa,7100000.0
Suzuki,Alto,2015,9,125000.0,12500.0,Petrol,Manual,Used,Liftback,800,0,gray,Balana,3600000.0
Suzuki,Swift,2003,21,154000.0,7000.0,Petrol,Automatic,Used,Hatchback,1300,0,black,Horana,4400000.0
Nissan,Sunny,2001,23,184177.0,7674.041666666667,Petrol,Manual,Brand New,Saloon,1498,0,silver,Kurunegala,4650000.0
Perodua,Kenari,2007,17,149850.0,8325.0,Petrol,Automatic,Used,Liftback,1000,0,black,Panadura Find Out More,3595000.0
Suzuki,SX,2018,6,81000.0,11571.42857142857,Petrol,Automatic,Used,Hatchback,1200,0,black,Piliyandala,5250000.0
Suzuki,Wagon R,2017,7,109000.0,13625.0,Petrol,Automatic,Used,Station wagon,650,0,black,Alawatugoda,6500000.0
Micro,Panda Cross,2014,10,120500.0,10954.545454545454,Petrol,Manual,Used,Hatchback,1300,0,red,Panadura Find Out More,3495000.0
Micro,Panda,2014,10,120500.0,10954.545454545454,Petrol,Manual,Used,Hatchback,1000,0,blue,Panadura Find Out More,2895000.0
Suzuki,Wagon R,2024,0,2500.0,2500.0,Hybrid,Automatic,Brand New,Hatchback,690,0,white,Kurunegala,7500000.0
Daihatsu,Mira,2024,0,2500.0,2500.0,Hybrid,Automatic,Brand New,Hatchback,690,0,red,Kurunegala,6250000.0
Toyota,Custom,2024,0,2500.0,2500.0,Hybrid,Automatic,Brand New,Hatchback,690,0,white,Kurunegala,8990000.0
Micro,MX7,2012,12,136000.0,10461.538461538461,Petrol,Manual,Used,Sedan,1500,0,red,Panadura Find Out More,3295000.0
Micro,Panda Cross,2013,11,130000.0,10833.333333333334,Petrol,Manual,Used,Hatchback,1300,0,silver,Panadura Find Out More,2995000.0
Suzuki,Wagon R,2018,6,88000.0,12571.42857142857,Petrol,Automatic,Used,Liftback,650,0,red,Akurana,6300000.0
Micro,Panda,2012,12,136000.0,10461.538461538461,Petrol,Manual,Used,Hatchback,1300,0,orange,Panadura Find Out More,2495000.0
Nissan,B11,1985,39,88422.0,2210.55,Petrol,Manual,Used,Saloon,1500,0,red,Negombo,855000.0
Mercedes Benz,B Class,2016,8,120000.0,13333.333333333334,Electric,Automatic,Used,Hatchback,36,1,white,Kotte,9000000.0
Mitsubishi,i-MiEV,2013,11,130000.0,10833.333333333334,Electric,Automatic,Used,Hatchback,49,0,silver,Moratuwa,2990000.0
Toyota,Passo,2009,15,127000.0,7937.5,Petrol,Automatic,Used,Hatchback,990,0,red,Badulla,5025000.0
Suzuki,Alto,2015,9,58000.0,5800.0,Petrol,Manual,Used,Hatchback,650,0,white,Batticaloa,3800000.0
Hyundai,Eon,2016,8,86530.0,9614.444444444445,Petrol,Manual,Used,Hatchback,814,0,white,Batticaloa,4250000.0
Daihatsu,Mira,2023,1,6600.0,3300.0,Petrol,Automatic,Brand New,Hatchback,660,0,blue,Kottawa,6400000.0
Suzuki,Wagon R,2024,0,3500.0,3500.0,Petrol,Automatic,Brand New,Unknown,650,0,black,Digana Find Out More,7300000.0
Suzuki,Celerio,2015,9,85300.0,8530.0,Petrol,Automatic,Used,Hatchback,1000,0,silver,Kalmunai,5100000.0
Suzuki,Wagon R,2017,7,147000.0,18375.0,Petrol,Automatic,Used,Hatchback,650,0,black,Kandy,5600000.0
Mazda,Flair,2015,9,128000.0,12800.0,Petrol,Automatic,Used,Hatchback,650,0,black,Ratnapura,5100000.0
Suzuki,Wagon R,2018,6,89000.0,12714.285714285714,Hybrid,Automatic,Used,Hatchback,660,0,purple,Kegalle,6950000.0
Perodua,Bezza,2018,6,63000.0,9000.0,Petrol,Manual,Used,Hatchback,1000,0,white,Narahenpita (Colombo 05),6600000.0
Suzuki,Alto,2015,9,131500.0,13150.0,Petrol,Manual,Used,Hatchback,800,0,gray,Wattala,3750000.0
Suzuki,Wagon R,2024,0,3300.0,3300.0,Petrol,Automatic,Reconditioned,Hatchback,650,0,black,Kotahena (Colombo 13),8300000.0
Toyota,Aqua,2014,10,127500.0,11590.90909090909,Petrol,Manual,Used,Hatchback,1500,0,white,Piliyandala,7450000.0
Toyota,Premio,2015,9,97000.0,9700.0,Petrol,Automatic,Used,Saloon,1500,0,black,Panadura,11450000.0
BMW,X Series,2018,6,150000.0,21428.571428571428,Petrol,Automatic,Used,Unknown,1500,1,white,Delgoda,18200000.0
Micro,Panda,2015,9,55000.0,5500.0,Petrol,Manual,Used,Hatchback,1000,0,white,Delgoda,2875000.0
Toyota,Aqua,2014,10,80460.0,7314.545454545455,Hybrid,Automatic,Used,Hatchback,1500,0,yellow,Pelmadulla,7400000.0
Toyota,Corolla,1996,28,190000.0,6551.724137931034,Diesel,Automatic,Used,Sedan,1970,0,white,Pelmadulla,2990000.0
Suzuki,Alto,2015,9,68500.0,6850.0,Petrol,Manual,Used,Hatchback,800,0,white,Kirillawala,4000000.0
Suzuki,Wagon R,2017,7,102000.0,12750.0,Petrol,Automatic,Used,Hatchback,600,0,white,Gampaha,6850000.0
Suzuki,Alto,2014,10,179000.0,16272.727272727272,Petrol,Manual,Used,Hatchback,800,0,blue,Anuradhapura,3585000.0
Toyota,Vitz,2008,16,120000.0,7058.823529411765,Petrol,Automatic,Used,Hatchback,1000,0,white,Kaleliya,5550000.0
Suzuki,Alto,2015,9,92000.0,9200.0,Petrol,Manual,Used,Hatchback,800,0,gray,Kegalle,3600000.0
Suzuki,Alto,2015,9,76000.0,7600.0,Petrol,Automatic,Used,Liftback,800,0,gray,Vavuniya,4150000.0
Nissan,Primera,2001,23,170000.0,7083.333333333333,Petrol,Manual,Used,Hatchback,1200,0,silver,Colombo Fort (Colombo 01),3750000.0
Toyota,Camry,2006,18,157000.0,8263.157894736842,Petrol,Automatic,Used,Hatchback,1490,0,red,Negombo,7900000.0
Toyota,Vios,2003,21,130000.0,5909.090909090909,Petrol,Automatic,Reconditioned,Saloon,1500,0,gold,Nugegoda,5375000.0
Nissan,B11,1985,39,150000.0,3750.0,Petrol,Manual,Used,Saloon,1300,0,silver,Panadura,1150000.0
Toyota,Axio,2018,6,106000.0,15142.857142857143,Hybrid,Automatic,Used,Sedan,1500,0,white,Padukka,13500000.0
Toyota,DX Wagon,1986,38,20000.0,512.8205128205128,Petrol,Manual,Used,Station wagon,1200,0,white,Padaviya,900000.0
Honda,Grace,2014,10,154000.0,14000.0,Hybrid,Automatic,Used,Hatchback,1490,0,white,Kegalle,8800000.0
Toyota,Prius,2007,17,165000.0,9166.666666666666,Hybrid,Automatic,Used,Sedan,1500,0,silver,Kalutara,6300000.0
Suzuki,Wagon R,2024,0,3500.0,3500.0,Hybrid,Automatic,Brand New,Liftback,600,0,gray,Kuliyapitiya Find Out More,7300000.0
Perodua,Axia,2016,8,37445.0,4160.555555555556,Petrol,Automatic,Used,Hatchback,1000,0,silver,Kandy,5450000.0
Honda,Insight,2009,15,190000.0,11875.0,Hybrid,Automatic,Reconditioned,Sedan,1330,0,red,Trincomalee,7925000.0
Audi,Q2,2019,5,146000.0,24333.333333333332,Petrol,Automatic,Used,Hatchback,999,1,gray,Athurugiriya,13600000.0
Toyota,Pixis,2024,0,3500.0,3500.0,Petrol,Automatic,Brand New,Hatchback,650,0,blue,Angoda Find Out More,6700000.0
Suzuki,Maruti,2000,24,100000.0,4000.0,Petrol,Manual,Used,Hatchback,800,0,white,Kaduwela,1950000.0
Renault,KWID,2016,8,140000.0,15555.555555555555,Petrol,Manual,Used,Hatchback,1000,0,red,Kuliyapitiya,3400000.0
Honda,N WGN,2017,7,30250.0,3781.25,Petrol,Automatic,Used,Station wagon,650,0,green,Kalutara,6250000.0
Toyota,Axio,2014,10,245000.0,22272.727272727272,Petrol,Automatic,Used,Hatchback,1329,0,white,Akarella,8000000.0
Toyota,Corolla,1977,47,113000.0,2354.1666666666665,Petrol,Manual,Used,Unknown,1200,0,red,Horana Find Out More,850000.0
Toyota,Starlet,1986,38,20000.0,512.8205128205128,Petrol,Manual,Used,Unknown,1300,0,black,Horana Find Out More,1450000.0
Suzuki,Wagon R,2014,10,126000.0,11454.545454545454,Petrol,Automatic,Used,Hatchback,650,0,white,Kurunegala,5750000.0
Suzuki,Alto,2015,9,130000.0,13000.0,Petrol,Manual,Used,Hatchback,800,0,white,Kotte,3750000.0
Toyota,Axio,2013,11,135000.0,11250.0,Petrol,Automatic,Used,Saloon,1500,0,white,Bopitiya,8350000.0
Hyundai,Santro,2005,19,180000.0,9000.0,Petrol,Manual,Used,Unknown,1200,0,gray,Horana Find Out More,2500000.0
Daihatsu,Mira,2003,21,151000.0,6863.636363636364,Petrol,Automatic,Used,Hatchback,650,0,blue,Malabe,3690000.0
Honda,Grace,2015,9,127000.0,12700.0,Hybrid,Automatic,Used,Sedan,1500,0,white,Kollupitiya (Colombo 03),8900000.0
Toyota,Corolla,1996,28,190000.0,6551.724137931034,Petrol,Manual,Used,Unknown,1500,0,white,Horana Find Out More,3500000.0
Toyota,Platz,2001,23,147467.5,6144.479166666667,Petrol,Automatic,Used,Unknown,1000,0,black,Horana Find Out More,3900000.0
Perodua,Viva,2013,11,92000.0,7666.666666666667,Petrol,Automatic,Used,Hatchback,1000,0,purple,Adampan,4675000.0
Toyota,Carina,1992,32,23000.0,696.969696969697,Petrol,Manual,Used,Saloon,1500,0,white,Matugama,3400000.0
Perodua,Kancil,2003,21,172000.0,7818.181818181818,Petrol,Manual,Used,Unknown,0,0,green,Kandy Find Out More,2300000.0
Suzuki,Wagon R,2017,7,160000.0,20000.0,Petrol,Automatic,Used,Hatchback,790,0,white,Moratuwa,5975000.0
Suzuki,Celerio,2014,10,87000.0,7909.090909090909,Petrol,Tiptronic,Used,Hatchback,1000,0,yellow,Dehiwala,4750000.0
Honda,Fit,2012,12,126650.0,9742.307692307691,Petrol,Automatic,Used,Hatchback,1339,0,silver,Moratuwa,6750000.0
Perodua,Kelisa,2004,20,134000.0,6380.952380952381,Petrol,Automatic,Used,Hatchback,1000,0,silver,Piliyandala,3375000.0
KIA,Rio,2001,23,146935.0,6122.291666666667,Petrol,Manual,Used,Hatchback,1500,0,yellow,Anuradhapura,2400000.0
Toyota,Corona,1990,34,180000.0,5142.857142857143,Diesel,Manual,Used,Hatchback,1970,0,green,Kahathuduwa,1855000.0
Toyota,Aqua,2005,19,180000.0,9000.0,Petrol,Automatic,Used,Hatchback,1800,0,orange,Kirulapone Find Out More,6350000.0
Suzuki,Alto,2010,14,125500.0,8366.666666666666,Petrol,Manual,Reconditioned,Hatchback,800,0,black,Kirulapone Find Out More,3500000.0
Suzuki,Wagon R,2017,7,160000.0,20000.0,Petrol,Automatic,Used,Hatchback,650,0,white,Panadura,5975000.0
Toyota,Passo,2023,1,4000.0,2000.0,Hybrid,Automatic,Reconditioned,Hatchback,1000,0,maroon,Katugastota,8400000.0
Suzuki,Alto,2016,8,78000.0,8666.666666666666,Petrol,Manual,Used,Hatchback,796,0,white,Anuradhapura,3800000.0
Toyota,Vitz,2016,8,85000.0,9444.444444444445,Petrol,Automatic,Used,Hatchback,1000,0,white,Kuliyapitiya,7500000.0
Toyota,Vitz,2016,8,238000.0,26444.444444444445,Petrol,Automatic,Used,Hatchback,1000,0,white,Adampan,7250000.0
Daihatsu,Charade,1988,36,97285.0,2629.324324324324,Diesel,Manual,Used,Hatchback,990,0,green,Nittambuwa,1750000.0
Micro,Panda,2016,8,30200.0,3355.5555555555557,Petrol,Manual,Used,Hatchback,1300,0,white,Morontuduwa,3550000.0
Suzuki,Alto,2015,9,110000.0,11000.0,Petrol,Manual,Used,Saloon,800,0,gray,Minuwangoda,3600000.0
Toyota,Belta,2007,17,116500.0,6472.222222222223,Petrol,Automatic,Used,Saloon,1000,0,silver,Matara,5950000.0
Toyota,Corona,1996,28,0.0,0.0,Petrol,Automatic,Used,Liftback,0,0,white,Anuradhapura,3400000.0
Suzuki,Wagon R,2017,7,169000.0,21125.0,Petrol,Automatic,Reconditioned,Hatchback,650,0,black,Gampaha,6250000.0
Suzuki,Alto,2015,9,46000.0,4600.0,Petrol,Manual,Reconditioned,Hatchback,680,0,gray,Badulla,3350000.0
Peugeot,206,2000,24,132000.0,5280.0,Petrol,Automatic,Used,Hatchback,1390,0,silver,Wattala,3550000.0
Micro,Panda,2015,9,82000.0,8200.0,Petrol,Manual,Used,Hatchback,1000,0,orange,Wanela,3550000.0
Suzuki,Celerio,2015,9,85328.0,8532.8,Petrol,Automatic,Used,Hatchback,1000,0,white,Batticaloa,4950000.0
Suzuki,Alto,2010,14,200000.0,13333.333333333334,Petrol,Manual,Used,Hatchback,660,0,red,Matale,3000000.0
Audi,A3,2023,1,6600.0,3300.0,Petrol,Automatic,Brand New,Sedan,1000,1,blue,Kiribathgoda Find Out More,18000000.0
Suzuki,Spacia,2024,0,3000.0,3000.0,Petrol,Automatic,Brand New,Hatchback,990,0,white,Halloluwa,9500000.0
Suzuki,Wagon R,2018,6,61000.0,8714.285714285714,Petrol,Automatic,Used,Hatchback,658,0,white,Batticaloa,6950000.0
Toyota,Aqua,2012,12,132000.0,10153.846153846154,Hybrid,Automatic,Used,Hatchback,1500,0,blue,Kiribathgoda,6800000.0
Toyota,Vitz,2015,9,92500.0,9250.0,Petrol,Automatic,Used,Unknown,990,0,silver,Pannipitiya,6900000.0
Nissan,Sunny,2002,22,210000.0,9130.434782608696,Petrol,Manual,Used,Sedan,1490,0,blue,Anuradhapura,4075000.0
Toyota,Corolla,1997,27,250000.0,8928.57142857143,Petrol,Automatic,Used,Saloon,1500,0,white,Matale,3200000.0
Toyota,Allion,2016,8,160000.0,17777.777777777777,Petrol,Automatic,Used,Sedan,1490,0,black,Borella (Colombo 08),12800000.0
Toyota,Vitz,2019,5,46000.0,7666.666666666667,Petrol,Automatic,Used,Unknown,1000,0,red,Negombo,8499000.0
Toyota,Axio,2002,22,170000.0,7391.304347826087,Petrol,Automatic,Used,Saloon,650,0,white,Kobeigane Find Out More,2550000.0
Nissan,Sunny,1987,37,300000.0,7894.736842105263,Petrol,Manual,Used,Saloon,1500,0,white,Poddala,1650000.0
Honda,Accord,2004,20,183500.0,8738.095238095239,Petrol,Automatic,Used,Saloon,1000,0,brown,Horana,4790000.0
Suzuki,Celerio,2014,10,120500.0,10954.545454545454,Petrol,Manual,Used,Hatchback,990,0,black,Horana Find Out More,4950000.0
Toyota,Mark II,2001,23,148000.0,6166.666666666667,Petrol,Automatic,Used,Hatchback,2000,0,black,Kurunegala,6300000.0
BMW,3 Series,2016,8,75000.0,8333.333333333334,Petrol,Automatic,Used,Saloon,1500,1,white,Kohuwala,18850000.0
Suzuki,Alto,2017,7,200000.0,25000.0,Petrol,Automatic,Used,Hatchback,660,0,silver,Matale,5250000.0
Toyota,Vitz,2015,9,150000.0,15000.0,Petrol,Automatic,Used,Hatchback,1000,0,white,Galagedara,6750000.0
Toyota,Axio,2016,8,170000.0,18888.88888888889,Hybrid,Automatic,Used,Sedan,1490,0,silver,Welipennagahamulla,11200000.0
BMW,3 Series,2011,13,127400.0,9100.0,Diesel,Automatic,Used,Sedan,1990,1,white,Panadura Find Out More,10495000.0
Mitsubishi,eK,2023,1,6600.0,3300.0,Petrol,Automatic,Brand New,Hatchback,660,0,silver,Kottawa,6850000.0
Toyota,Passo,2007,17,158000.0,8777.777777777777,Petrol,Automatic,Used,Hatchback,1000,0,maroon,Kurunegala,4590000.0
Micro,Voleex,2012,12,128000.0,9846.153846153846,Petrol,Automatic,Used,Hatchback,1300,0,red,Ja-Ela,3745000.0
Toyota,Corolla,1996,28,123456.0,4257.103448275862,Petrol,Manual,Used,Unknown,1500,0,silver,Kurunegala,3000000.0
Toyota,Passo,2009,15,131.0,8.1875,Petrol,Automatic,Used,Hatchback,1000,0,silver,Gampaha,4825000.0
Suzuki,Alto,2015,9,135000.0,13500.0,Petrol,Automatic,Used,Hatchback,800,0,black,Horana,3690000.0
Honda,Civic,2019,5,67000.0,11166.666666666666,Petrol,Automatic,Used,Sedan,1000,0,red,Dehiwala,13400000.0
Toyota,Allion,2016,8,100000.0,11111.111111111111,Hybrid,Automatic,Used,Saloon,1500,0,white,Galewela,13200000.0
Suzuki,Alto,2011,13,153000.0,10928.57142857143,Petrol,Manual,Used,Convertible,1000,0,silver,Kurunegala,3350000.0
Toyota,Corolla,1999,25,180000.0,6923.076923076923,Petrol,Automatic,Used,Station wagon,1300,0,white,Kurunegala,3200000.0
Honda,Insight,2010,14,155000.0,10333.333333333334,Petrol,Automatic,Used,Liftback,1500,0,red,Alutgama,6700000.0
Suzuki,Wagon R,2018,6,115000.0,16428.571428571428,Hybrid,Automatic,Used,Unknown,660,0,white,Wattala,6100000.0
